File,Window_Sec,Window_Index,Binarization,LZC_Normalized,LZC_Custom,Variance,SNR,Binary_Balance
P001-1-trimmed.mat,20,1,median,0.012994555522617033,0.00038219280948873624,0.3341151,-0.78110915,0.49995
P001-1-trimmed.mat,20,1,mean,0.003439735285398626,0.00038219280948873624,0.3341151,-0.78110915,0.6072
P001-1-trimmed.mat,20,1,adaptive,0.0038219280948873623,0.00038219280948873624,0.3341151,-0.78110915,0.603175
P001-1-trimmed.mat,20,2,median,0.01719867642699313,0.00038219280948873624,0.08037961,-4.619543,0.49995
P001-1-trimmed.mat,20,2,mean,0.014905519570060713,0.00038219280948873624,0.08037961,-4.619543,0.480175
P001-1-trimmed.mat,20,2,adaptive,0.012612362713128296,0.00038219280948873624,0.08037961,-4.619543,0.4661
P001-1-trimmed.mat,20,3,median,0.28320487183115356,0.00038219280948873624,0.010436679,-0.21434605,0.492975
P001-1-trimmed.mat,20,3,mean,0.019874026093414283,0.00038219280948873624,0.010436679,-0.21434605,0.765525
P001-1-trimmed.mat,20,3,adaptive,0.021020604521880492,0.00038219280948873624,0.010436679,-0.21434605,0.75445
P001-1-trimmed.mat,20,4,median,0.22931568569324173,0.00038219280948873624,0.16689096,-0.39945546,0.493875
P001-1-trimmed.mat,20,4,mean,0.00611508495181978,0.00038219280948873624,0.16689096,-0.39945546,0.8027
P001-1-trimmed.mat,20,4,adaptive,0.010319205856195878,0.00038219280948873624,0.16689096,-0.39945546,0.7894
P001-1-trimmed.mat,30,0,median,0.010317238672175894,0.00026454458133784344,0.12018823,-3.7023022,0.4999166666666667
P001-1-trimmed.mat,30,0,mean,0.008729971184148833,0.00026454458133784344,0.12018823,-3.7023022,0.48515
P001-1-trimmed.mat,30,0,adaptive,0.008729971184148833,0.00026454458133784344,0.12018823,-3.7023022,0.47231666666666666
P001-1-trimmed.mat,30,1,median,0.17830304782170647,0.00026454458133784344,0.1892347,-0.50696975,0.49483333333333335
P001-1-trimmed.mat,30,1,mean,0.005555436208094712,0.00026454458133784344,0.1892347,-0.50696975,0.74375
P001-1-trimmed.mat,30,1,adaptive,0.0058199807894325556,0.00026454458133784344,0.1892347,-0.50696975,0.73485
P001-1-trimmed.mat,30,2,median,0.01084632783485158,0.00026454458133784344,0.24631947,-0.7182587,0.4997333333333333
